date,24,8,2,Total,Weight,Average
12/4/15,,,,622,1320,2.1221865
12/19/15,,,,570,1470,2.57894737
12/30/15,,,,420,1190,2.83333333
1/5/16,,,,680,1790,2.63235294
1/12/16,,,,735,1920,2.6122449
1/20/16,,,,937,2410,2.57203842
1/26/16,722,329,67,1118,2820,2.52236136
2/2/16,988,615,0,1603,4030,2.51403618
2/9/16,1047,0,90,1137,2480,2.18117854
2/10/16,0,517,0,517,1390,2.68858801
2/16/16,982,375,0,1357,3250,2.39498895
2/17/16,0,60,85,145,540,3.72413793
2/23/16,838,377,0,1215,2900,2.38683128
3/2/16,1325,579,0,1904,4400,2.31092437
3/8/16,1250,575,95,1920,4350,2.265625
3/15/16,861,215,0,1076,2450,2.27695167
3/16/16,0,69,0,69,170,2.46376812
3/22/16,414,306,53,773,1820,2.35446313
3/24/16,348,231,0,579,1430,2.46977547
4/5/16,206,93,15,314,760,2.42038217
4/12/16,424,489,0,913,2470,2.70536692
4/19/16,194,156,12,362,1521,4.20165746
4/30/16,705,560,58,1323,3800,2.87226002
5/10/16,844,405,88,1337,3620,2.70755423
5/24/16,715,468,145,1328,3650,2.74849398
6/1/16,1064,461,93,1618,4370,2.70086527
6/7/16,656,280,55,991,2400,2.42179617
6/14/16,598,270,83,951,2160,2.27129338
6/21/16,1214,535,114,1863,3660,1.96457327
6/29/16,1126,404,119,1649,2840,1.72225591
7/12/16,685,266,75,1026,1780,1.73489279
7/28/16,640,272,98,1010,2398,2.37425743
8/16/16,235,130,94,459,780,1.69934641
9/3/16,169,64,67,300,540,1.8
11/17/16,141,24,48,213,570,2.67605634
12/13/16,110,26,56,192,600,3.125
12/26/16,106,28,33,167,510,3.05389222
1/10/17,139,33,46,218,690,3.16513761
1/20/17,208,83,63,354,1170,3.30508475
1/27/17,193,66,43,302,970,3.21192053
2/3/17,203,50,31,284,930,3.27464789
2/10/17,201,71,36,308,1110,3.6038961
2/17/17,269,86,64,419,1470,3.50835322
2/24/17,461,131,88,680,2450,3.60294118
3/3/17,435,210,110,755,2760,3.65562914
3/10/17,534,206,126,866,3140,3.62586605
3/17/17,634,253,110,997,3710,3.72116349
3/24/17,502,159,65,726,3190,4.39393939
3/31/17,623,445,192,1260,5250,4.16666667
4/7/17,535,213,118,866,3460,3.99538106
4/15/17,519,154,116,789,3340,4.23320659
4/18/17,340,145,62,547,2410,4.40585009
4/25/17,598,279,82,959,4200,4.37956204
5/2/17,502,193,90,785,3540,4.50955414
5/10/17,427,182,116,725,3310,4.56551724
5/17/17,469,189,90,748,3740,5
5/24/17,399,213,77,689,3620,5.25399129
5/31/17,758,311,114,1183,6210,5.24936602
