harvest_date,bunches_24ha,bunches_8ha,bunches_2ha,total_bunches,total_weight_kg,avg_bunch_weight_kg,has_missing_values,calculated_total_bunches,total_bunches_valid,calculated_avg_bunch_weight_kg,avg_bunch_weight_valid
2015-12-04,,,,622.0,1320.0,2.12,True,,,2.12,1.0
2015-12-19,,,,570.0,1470.0,2.58,True,,,2.58,1.0
2015-12-30,,,,420.0,1190.0,2.83,True,,,2.83,1.0
2016-01-05,,,,680.0,1790.0,2.63,True,,,2.63,1.0
2016-01-12,,,,735.0,1920.0,2.61,True,,,2.61,1.0
2016-01-20,,,,937.0,2410.0,2.57,True,,,2.57,1.0
2016-01-26,722.0,329.0,67.0,1118.0,2820.0,2.52,False,1118.0,1.0,2.52,1.0
2016-02-02,988.0,615.0,0.0,1603.0,4030.0,2.51,False,1603.0,1.0,2.51,1.0
2016-02-09,1047.0,0.0,90.0,1137.0,2480.0,2.18,False,1137.0,1.0,2.18,1.0
2016-02-10,0.0,517.0,0.0,517.0,1390.0,2.69,False,517.0,1.0,2.69,1.0
2016-02-16,982.0,375.0,0.0,1357.0,3250.0,2.39,False,1357.0,1.0,2.39,1.0
2016-02-17,0.0,60.0,85.0,145.0,540.0,3.72,False,145.0,1.0,3.72,1.0
2016-02-23,838.0,377.0,0.0,1215.0,2900.0,2.39,False,1215.0,1.0,2.39,1.0
2016-03-02,1325.0,579.0,0.0,1904.0,4400.0,2.31,False,1904.0,1.0,2.31,1.0
2016-03-08,1250.0,575.0,95.0,1920.0,4350.0,2.27,False,1920.0,1.0,2.27,1.0
2016-03-15,861.0,215.0,0.0,1076.0,2450.0,2.28,False,1076.0,1.0,2.28,1.0
2016-03-16,0.0,69.0,0.0,69.0,170.0,2.46,False,69.0,1.0,2.46,1.0
2016-03-22,414.0,306.0,53.0,773.0,1820.0,2.35,False,773.0,1.0,2.35,1.0
2016-03-24,348.0,231.0,0.0,579.0,1430.0,2.47,False,579.0,1.0,2.47,1.0
2016-04-05,206.0,93.0,15.0,314.0,760.0,2.42,False,314.0,1.0,2.42,1.0
2016-04-12,424.0,489.0,0.0,913.0,2470.0,2.71,False,913.0,1.0,2.71,1.0
2016-04-19,194.0,156.0,12.0,362.0,1521.0,4.2,False,362.0,1.0,4.2,1.0
2016-04-30,705.0,560.0,58.0,1323.0,3800.0,2.87,False,1323.0,1.0,2.87,1.0
2016-05-10,844.0,405.0,88.0,1337.0,3620.0,2.71,False,1337.0,1.0,2.71,1.0
2016-05-24,715.0,468.0,145.0,1328.0,3650.0,2.75,False,1328.0,1.0,2.75,1.0
2016-06-01,1064.0,461.0,93.0,1618.0,4370.0,2.7,False,1618.0,1.0,2.7,1.0
2016-06-07,656.0,280.0,55.0,991.0,2400.0,2.42,False,991.0,1.0,2.42,1.0
2016-06-14,598.0,270.0,83.0,951.0,2160.0,2.27,False,951.0,1.0,2.27,1.0
2016-06-21,1214.0,535.0,114.0,1863.0,3660.0,1.96,False,1863.0,1.0,1.96,1.0
2016-06-29,1126.0,404.0,119.0,1649.0,2840.0,1.72,False,1649.0,1.0,1.72,1.0
2016-07-12,685.0,266.0,75.0,1026.0,1780.0,1.73,False,1026.0,1.0,1.73,1.0
2016-07-28,640.0,272.0,98.0,1010.0,2398.0,2.37,False,1010.0,1.0,2.37,1.0
2016-08-16,235.0,130.0,94.0,459.0,780.0,1.7,False,459.0,1.0,1.7,1.0
2016-09-03,169.0,64.0,67.0,300.0,540.0,1.8,False,300.0,1.0,1.8,1.0
2016-11-17,141.0,24.0,48.0,213.0,570.0,2.68,False,213.0,1.0,2.68,1.0
2016-12-13,110.0,26.0,56.0,192.0,600.0,3.12,False,192.0,1.0,3.12,1.0
2016-12-26,106.0,28.0,33.0,167.0,510.0,3.05,False,167.0,1.0,3.05,1.0
2017-01-10,139.0,33.0,46.0,218.0,690.0,3.17,False,218.0,1.0,3.17,1.0
2017-01-20,208.0,83.0,63.0,354.0,1170.0,3.31,False,354.0,1.0,3.31,1.0
2017-01-27,193.0,66.0,43.0,302.0,970.0,3.21,False,302.0,1.0,3.21,1.0
2017-02-03,203.0,50.0,31.0,284.0,930.0,3.27,False,284.0,1.0,3.27,1.0
2017-02-10,201.0,71.0,36.0,308.0,1110.0,3.6,False,308.0,1.0,3.6,1.0
2017-02-17,269.0,86.0,64.0,419.0,1470.0,3.51,False,419.0,1.0,3.51,1.0
2017-02-24,461.0,131.0,88.0,680.0,2450.0,3.6,False,680.0,1.0,3.6,1.0
2017-03-03,435.0,210.0,110.0,755.0,2760.0,3.66,False,755.0,1.0,3.66,1.0
2017-03-10,534.0,206.0,126.0,866.0,3140.0,3.63,False,866.0,1.0,3.63,1.0
2017-03-17,634.0,253.0,110.0,997.0,3710.0,3.72,False,997.0,1.0,3.72,1.0
2017-03-24,502.0,159.0,65.0,726.0,3190.0,4.39,False,726.0,1.0,4.39,1.0
2017-03-31,623.0,445.0,192.0,1260.0,5250.0,4.17,False,1260.0,1.0,4.17,1.0
2017-04-07,535.0,213.0,118.0,866.0,3460.0,4.0,False,866.0,1.0,4.0,1.0
2017-04-15,519.0,154.0,116.0,789.0,3340.0,4.23,False,789.0,1.0,4.23,1.0
2017-04-18,340.0,145.0,62.0,547.0,2410.0,4.41,False,547.0,1.0,4.41,1.0
2017-04-25,598.0,279.0,82.0,959.0,4200.0,4.38,False,959.0,1.0,4.38,1.0
2017-05-02,502.0,193.0,90.0,785.0,3540.0,4.51,False,785.0,1.0,4.51,1.0
2017-05-10,427.0,182.0,116.0,725.0,3310.0,4.57,False,725.0,1.0,4.57,1.0
2017-05-17,469.0,189.0,90.0,748.0,3740.0,5.0,False,748.0,1.0,5.0,1.0
2017-05-24,399.0,213.0,77.0,689.0,3620.0,5.25,False,689.0,1.0,5.25,1.0
